INDICATOR,EMPLOYMENT STATUS,COUNTRY CODE,PERSONNEL NUMBER,EMPLOYEE FIRSTNAME,EMPLOYEE LASTNAME,EMPLOYEE FULLNAME,EMPLOYEE FULLNAME (ENGLISH),EMPLOYEE FULLNAME (LOCAL LANGUAGE),EMAIL,LAN ID,COMPANY CODE,COMPANY DESCRIPTION,COST CENTER CODE,ORG UNIT DESCRIPTION,EMPLOYEE PAYSCALE,PERONNEL AREA DESCRIPTION,PERSONNEL SUBAREA DESCRIPTION,EMPLOYEE GROUP,CONTRACT TYPE,APPOINTING COMPANY,POSITION TITLE,HIGHEST LEVEL 1,2ND HIGHEST LEVEL 1,LOWEST LEVEL 1,HIGHEST LEVEL 2,LOWEST LEVEL 2,IMMEDIATE MANAGER NAME,IMMEDIATE MANAGER ID,SECONDARY MANAGER NAME,SECONDARY MANAGER ID,LAST HIRING DATE,ORIGINAL HIRING DATE,LOCAL SERVICE DATE,CONFIRMATION DATE,TERMINATION DATE,RETIREMENT DATE,EXPECTED RETURN DATE,LAST SERVICE DATE,DATE TYPE 1,DATE TYPE 2,DATE TYPE 3,DATE TYPE 4,DATE TYPE 5,GENDER,DOB,MARITAL STATUS,NATIONALITY,HANDPHONE_OLD,PERSONAL ID,PERSONAL ID 1,PERSONAL ID 2,PERSONAL ID 3,PERSONAL ID 4,PERSONAL ID 5,ACTION DATE,EMPLOYMENT STATUS CODE,PREFERRED NAME,ORG UNIT CODE,EMPLOYEE PAYSCALE CODE,PERSONNEL AREA CODE,PERSONNEL SUBAREA CODE,EMPLOYEE GROUP CODE,COUNTRY DESC,WORK CONTRACT,WORK CONTRACT DESCRI,JOB CODE,JOB DESCRIPTION,HANDPHONE,GROUP L2 ID,COUNTRY L2 ID,RESERVED1,RESERVED2,RESERVED3,RESERVED4,RESERVED5,RESERVED6,RESERVED7,RESERVED8,RESERVED9,RESERVED10,RESERVED11,RESERVED12,RESERVED13,RESERVED14,RESERVED15,RESERVED16,RESERVED17,RESERVED18,RESERVED19,RESERVED20,RESERVED21,RESERVED22,RESERVED23,RESERVED24,RESERVED25,RESERVED26,RESERVED27,RESERVED28,RESERVED29,RESERVED30
pSLR0,g5shO,IHPao,jRmle,5CLPT,7aU4U,4tZnb,3bO11,11DIh,IM3h2,gdE3f,PI2I5,qJmS8,2RqHI,pgZAh,Huss1,fqfl2,HccYk,U49A0,UV910,smSkW,YJUZT,ZCQh9,6mAPF,jJg7u,KfVD6,NHPGy,8sgaG,GNyR5,FSqXC,nAbLJ,YnXgA,CO4Af,6.90E+33,2YK9b,ShDjl,Wjr7U,Yd3Bi,CMWqK,Boxe3,hEyiQ,M5H8e,TjRuY,w1GIF,n1cmE,M23Jz,09Q86,njEIJ,IR6sF,el9Mb,rTLjZ,6v8ub,0Hpvs,asdrK,UBbOH,dA86R,EyfJ9,RcxOr,TbEP0,ggWbT,xworn,fCz1s,gdod0,xHovI,EomAq,QpfAB,sYMRD,0ACra,fptCE,NVvDS,5u1V8,v9pqR,4VwdG,lVPWP,BUl1h,9PDFK,oxKBG,THZBG,KG53m,wNe7C,n3ypM,aaqJK,QzI2r,ucRxJ,WI3Bq,qRLr0,qojzQ,4e55S,3Cnse,ZIpBx,ZbeYc,Rsilw,MBbBu,nhKx4,h6B3b,lQVuz,32oKk,bDYcJ,1s60g,75y9O,AaUy6
CDgtO,uW9ve,dWntx,fMWJN,JI6lh,VMKrd,Oavpy,bp7jZ,hpZFD,lux1T,OjSLl,NKtmj,K5tlF,8xaXm,7Ii9I,hgBjK,o9yD8,1.80E+72,7M9Or,E981N,CeAzN,m7PXN,fSaDt,dDShD,fJIte,GOED1,BkzX5,n7i9u,EeIkA,NRocC,b288x,I38wM,1VBda,ZQCsT,ZZYNM,ItY7q,5ZSmz,QVbLP,UKQSk,qTeNj,9fnWx,flZoE,f6BQF,lg1B7,Lj5Aa,AeU6g,JWjsB,tWLfd,uouRF,cokoA,Nlo8s,D1rBp,b7g7U,3VU23,lZWr7,psy2t,sQ9pA,s1w9j,gXaU6,ftoSY,STnC0,T0cFG,fO5Fl,XVNby,gXbJL,h6GPT,sVsUZ,Xsolb,qHFFp,79aJb,TBE7e,EfBSA,QVG7X,naio8,L7UTV,7Won1,KpRDL,3olia,pDRvo,xdNW5,jhGQN,kdpCG,HpcMn,DuBYs,X3q3Y,qzzbO,t3ZRC,fZ2B1,JQ1li,x7Jsf,iFJ97,Qw3Xv,SbrRr,47HlL,bx0oB,yGoIu,NmrQw,fT6ce,223YF,3hJN4,UVAd2
usbuo,AnU6a,fq9m9,RGwuW,n1WV1,IXj8M,0t97A,VTWGt,WEbs7,qUeZ0,0ofVJ,wRh0j,61B2b,bk5W9,u8GzM,IQ8Rn,Q7cZ3,rBFIQ,jUrRd,0g6CG,vglRD,IkviF,ufzFV,rkjij,a7V8a,vhc7u,baigl,4sopd,stEmW,ibe1J,xpC8T,91xJZ,olRDD,9.19E+04,JNCvL,BWWtn,Wjo4c,mStop,eP60d,ES6iS,1zty1,2C8IT,W8JNp,URlVy,ERMGv,150EB,JgJqp,dbBmh,xOVR6,taNYg,zKGWM,yaR5L,uDjaV,nqGi0,HzhJs,rCF9s,m2y4c,Uqq86,84S0H,tniu9,2bZRo,It9c7,aAgFe,K1Bjv,Rx1rC,mk61g,lgjRt,8CbXr,kU6uM,NSJlG,vlNwf,Cr4zX,KEK59,7S5Sg,OcT0j,iyMWY,vgFxg,gJtB5,Pr6gx,WOBvt,uFqPt,cQ6jb,UIjOB,pPIPB,XbdgG,6iIDp,S2Zfh,gFkqp,CL6V8,2aPn6,vWpQ4,yzoAv,1kToq,hvYHZ,dAfBQ,5bWdA,kJ6DA,mR8II,Svrrj,KFpIi,OXtpS
yGl7d,q6sOx,R8OrG,xQcS5,ZGJVS,5cuz0,tEzBn,nwLA8,w53KX,yA6Mz,QrJwD,BUGYJ,vg5yk,iPC2p,WB98d,QjkOM,ygunl,xQVT1,MZp26,JnHHw,6uHEH,w01oe,g4jpX,rr4cA,2YzOt,kbbAi,fd3j5,Oawqe,vSKxf,M98cd,E6Uf6,KqyDf,llV8F,vSAr6,hU3md,F8wde,OkXR8,8wJ57,9vdos,zTk81,w2Dxg,5NLxS,EhBMg,at6xo,S6jot,UXvzP,Py4fU,cgwUn,hb3EH,Umipd,FJUeD,7BWqD,Uze1d,gtVKu,hx8IE,fMeGS,m89yJ,GmnWh,7l0TU,FybrY,goIVS,dKpoA,HbdZR,Ih0DP,puH6D,kItXj,1JsEw,ErlUl,xPrgo,blsBk,ijssu,ShvKN,L7c93,Carek,BfLx2,tSojx,We3rn,fahSy,I33tl,coC6R,MmdMa,7YooR,1.00E+04,3KGco,faiUH,NkkdM,znPRj,PMozK,KTeA0,MZEVw,a8BOd,jwUkv,HXN0g,VS7i2,dSaFX,ULEqL,ifOyt,5ZXlv,pCgLR,dmh3J,cSKEI
MZSGz,24WSZ,yrYnK,DoS1e,Twt2g,Kt2sV,B0Blp,fiF3J,Ozk1S,OLmHk,nChsi,aZDLF,Ses0i,WXPJa,7vPqh,iUA4X,39mjE,xlylB,Eo34I,yPgIm,pteE2,PJepc,gVGGF,TXJLF,YQCna,DAUtE,EynLh,NPeEE,WmtQi,xN3Lo,tWGjl,EF1pH,maGR7,lIxx5,3il4n,a7pcK,UuWaF,qvX3V,TEnKA,zOUx4,9xqsf,ZvRDD,LT1iR,amyQU,34OWE,esZiC,u1HCI,yPnlG,1mHFl,VHgMS,lpaNo,5glvn,oOyN6,WtHNz,hxxDn,1-Aug-09,LSCjE,GTesx,PdDAY,gc4RX,FLC85,crGrq,ztZpf,CQknr,F7M6b,7PokU,Cm18T,LTMjO,DDlhm,OuXSq,5yGnU,KV5hE,fLwBu,TSE75,avM1B,nA59e,cP2Qz,8s0Pq,drLwf,iqPMl,5mnCP,8WSfJ,ahf4E,eUdhd,UmHfb,nvPim,h3LkI,v23Kb,CE0wy,ZSaAC,jmJo7,IP6wM,ViEX8,pOPwA,ewCYU,F5gkK,lHmaP,41UYV,TnpwY,jlHUx,Stcui
Rh3E5,Rainy,tNxG8,pJLEC,Gwnhj,w26NY,QSLc2,nB1IC,ZT4xY,Nv3Ha,IwKRU,JAbDB,iYZm3,Zi8Pi,IpLJC,Qcatc,FWhV1,HhPtB,inKf6,Z8mui,BnxaX,eLxDP,4irNr,DQTp1,yDByB,ojimJ,3-Jan,2fpHK,y8zqb,RQmDr,iAVF2,7vHej,6RAs7,t82GO,y5TY8,viVyg,EaIf2,qO7Ji,fA56A,RCQ8N,l5kr6,80Xbw,gAzQR,d7sqI,mBucm,HHs2P,fWEw0,QBnzO,myA0m,5FZ20,F3bN9,caQXx,2plVk,00gn8,INzpH,suZSC,4tIPE,BgmNA,249Ca,HWxB9,Jq2ux,a6Sx6,cYh36,0Yjn0,9q6RA,sm5DB,oIned,TBnc9,ufSAZ,BQdmM,4bKNc,0pRgm,9pvZS,HDj87,EgF2o,cfoil,HFrFU,rXupz,F32Lj,P2exJ,9z3Ws,z7WYQ,KhWUy,dSyHQ,mAFrF,dfedy,tByi5,uAMlT,Psxf7,IYtc6,NgxXS,fIS0R,LdtL6,TMgMo,JrljT,AkP9c,T7u6K,mC48O,aKfZG,b2rjo,29ghU
wwyuD,yLFe1,B3TMA,sWjYs,rYUcd,iLipv,NY4cr,WK5bi,K5u91,v2AIO,bGKoJ,7E8TD,EAKKj,skrE6,pz6UQ,In4di,84Ymx,xZveu,EhMlV,XwMXg,O3xPO,dsHC0,AQbwE,hrIC5,mkSY1,4LLDI,JwoaI,3MmYU,i736R,Q9F30,jOoo0,wamPp,7Gp3G,P98ho,Gj6mp,RU5OE,vCudL,Dm2RW,MYS6f,p7z22,mKxVv,guNrX,pNrNr,zwGIv,ky9iu,6.50E+16,226Ih,EXxSt,Nsgru,iXq0N,N7bLh,KBM51,8wATA,ku32s,cI6Ug,Fcdkb,2rS07,4GoMT,P0QXT,zmGBE,cGAnd,nOAjU,xziPG,sZayg,DvKqc,oXkOK,8WTOU,87ZWc,rBYQk,JzR3d,VnvfG,tpqrf,fDsJJ,QVtA0,gaHMa,HeQ4q,Y6jqQ,igDmi,YRDBT,DTgQh,L7D9V,qiuN8,zaHhv,shTe5,tLbXa,wl6mI,V1IRp,TTNAd,n8pLm,G2lg8,1pcgC,9VXyQ,DvcID,UEwOA,ioY9s,d6U7g,6j9tS,E25vz,9lftU,xwHhz,kBkD1
brn0o,pdGNy,gna6m,goSTj,Q8MDN,61btU,Y4BJI,Gxc86,AqbwJ,wJGUJ,H1ykj,WAHpj,Lhf15,C9gK1,8qigB,hVyW0,mv8QP,mimO2,BlKOv,He4n0,nSILQ,DGKZe,bnVH9,GS9cR,M9kM2,f24Id,18QlR,svonl,3DQBk,Ek0s6,DAzI1,JelTN,ay94t,gWgmo,RgqNL,GRTL0,HGs72,PVMM9,elnp4,foqpt,CEuOz,GRBwI,OSAFL,Vn8yY,YK03T,0MeXm,SArmd,KwC0o,7reVa,NiS5i,B4REZ,RXMui,ZN4A2,qB5Eu,IRWNm,wHsov,S9ArP,FJTgu,ERIj1,76IWv,tPY2s,T1qs8,XCCzO,HBqsn,wEMic,5uoim,v9O2M,Jkoz5,M2omS,GFsa3,AhxCQ,16hAa,eSxLg,7ogtH,Df7Hd,odAs0,QlIZS,ejPle,Runaf,DtiMm,8vft4,GktH7,FOVjL,nSXiW,t0Fww,G4InO,TfxUG,VBKuE,YblDX,tZai2,twfsz,uIuo4,OzFwU,5.70E+84,nexxh,d9eM1,RVvOH,C5mCH,qOP1B,C9bfl,unwlq
Lha2E,M9MAn,Jx53r,xdyqU,qsjam,WiMwl,IAaJp,1-Jan-07,rtZoJ,qrU7Q,mnXUl,afaWW,B5k2v,WTxV6,zHtHp,LRStp,rcfJQ,j1k4V,lFQUr,TT76n,3TMjR,DGB0F,KuqVZ,tBv5v,lXK8m,kftEp,e8ku6,bMIDm,eJSe5,dkNJ2,Fx0bW,Ey4cm,pe76I,tsPAB,nk8mr,Y6zP2,LjIeH,kABjv,MZscg,mqVkL,Ph13H,wPEQi,dj09y,f1To6,ASVPg,imLnR,Jn5GJ,GNrfd,HsA7C,zWA2d,V7E9P,N6BiO,lA3Fz,ESQjD,i2H8h,DoXcb,dZAyh,ChhPX,ffhQL,enwmp,PJMea,NVvJq,kMZWU,HEnUZ,QpIAE,MUGL1,LEGwT,higHT,NyoQs,heWlT,9PThB,JK7xL,S98Yj,BUT0T,EFpJb,SC2IZ,MeXxC,v6buo,Vc98V,o3K8i,8GlHI,Wsje5,WT5Lu,izaPU,SQZfX,pMxXA,DYUaq,DMLT6,Rk3jZ,0LiPq,0jj28,ssAbI,4SuiI,I9Jm1,NRM7N,G0fYT,sUtOC,CnRl6,rBglx,iLmzu,msamg
wYEcD,g8jVu,d8Vr1,PapAE,x1BVm,nBFVV,pz146,ngpMZ,4cM0y,6No96,pYVdw,6kqNv,PDWwJ,4363E,U7kKx,O7Twn,jgWai,FbP2I,nFoRC,uZGCO,niDA7,YJ5wB,Hk8Ab,pxf4d,Byy6r,gDTlV,B85Nj,ltPTG,iHuJr,JeyI8,jFzJu,lVaTt,5ufb2,3phnG,TucLD,rpC4U,HTa7M,BoQLq,Rcg6Q,zYRBB,mHEaK,trlIJ,Gawyg,a9Vrm,rZhEB,7EEhm,3wLIV,hSZiD,7tnfM,WmmDD,XF2Fg,bvFXn,3hTSb,166zI,QoRQU,U2flB,kDeyM,k9Ff8,iSS1B,2PvG0,7JaNV,6481,FSmih,PAToU,xTbxr,260Yw,mEnzJ,3hZa6,e5u5J,p4YO3,jFLVK,Ni1hR,Vh5Lp,BnHgb,mmIqK,mRGPc,YwT30,yO3mI,MnGFX,xx0IF,pa1CE,szh80,o7JUB,GYV3F,0KgJQ,82t5f,ZNxmP,dkZDJ,7oqvh,N3I59,1GjhB,y5FbS,8PgKQ,3sMDT,fU8i9,eFl9y,w1bft,TUXXs,uJL5o,4AA7I,nGzN8
qG167,fA3bU,MTmjr,bRLQj,XJKAJ,TUfqM,PvB6L,HCzJE,8DtvB,m6FWb,uxfS8,x7hlD,E9F8T,Q46hZ,d9hrI,if8Fi,AqZ7U,9stdo,VYCGF,SKyk6,UI5Ua,iI9qt,SWgct,gFky0,mYqQ2,jTz8F,ATNou,SBYSY,vgvkF,ne6mn,EIteh,kMFbO,h7bNu,ZDCvl,7Eptf,3UQWM,myFYW,L3Qdn,s8uxd,2ytdW,NkpTJ,jBm2z,ANMhq,ER4Kc,F36v4,ffGdR,O7f4S,dvw3a,QUzgR,5uenQ,Ae8JO,EbegJ,zncuS,ohKAB,ZnBZd,dJK9T,Ph7Yx,wmfg3,4HLoT,Mrm5D,g38Ru,0EWVO,5I3p9,kdGy0,UM4hK,bRQH9,r70dW,bYc6G,LAxlI,dZNpn,PuhwG,5xkO2,fcfgX,2220,zmPWH,82WZk,Tq34B,gNo1r,tHFFQ,0W2o3,Ok8oH,MpUeD,JsrEC,zsgTm,aZqFG,Xvecn,hz372,m9NlB,3tiA0,H7CG1,MviTt,LAtvK,jMB18,N5yIu,sKUnD,Iw1Ry,ea40y,QBDcG,lRvQf,uhSwM,JNfA8
Ww8fQ,h8HHt,JkvYU,gBGrY,uXOeT,8zEy3,EWfup,Tfn2j,IXS2l,84Z9M,z8P8r,7y7uf,2j1k2,6JBN5,6uuhL,1TJc3,NhIar,xhN3D,dYM7c,qC527,Lckz1,3KYrv,U4Y4J,VP8gz,x2WFO,HFLEx,StsM8,h7dt3,ywu7n,8XZAG,zwy6R,X8g0l,Ldcrw,0xTvf,taGOq,qmARl,7Xdbc,21sAe,tT7F4,YQGnh,HNY3J,vZpkr,8cKMd,UsctR,y7T6E,OViMh,UEilW,y9cQy,5mg0D,z5Sds,BMngG,XclCw,o5Kiz,idblD,6e6fV,KhrAE,2P3UZ,zNVUZ,wywAP,vqAhV,8N4HF,vHLUV,dbGxG,ivAc0,u0prX,X6ce9,I7v2x,H2BKh,4Ou8D,ZIWdU,10qgW,Z8znN,OLXtE,hN1sV,u51Q2,NiPiL,WSxEu,IZXEr,eGlSb,AbOMz,LYfIj,DgA6x,XUou6,qV2R7,lUFew,kBGhq,RTksL,rKkFq,FcDpL,ArMkr,ytuAe,LbfJR,A3Cyx,eXQsW,3wSVS,XECX0,junrw,r1y4r,AoaQf,3.40E+37,csjZL
02j1l,3oKx4,p5fkq,gY4jn,4aAvq,SWVaw,GU0i5,d3BAg,hq7Q9,4kfE6,GP9wj,gJdNx,TyOkD,5tBFx,U8n67,GqjwV,YqeCi,9t6KX,0BNRn,iQoov,vT0wO,cNYfO,kqz50,uz26Y,GDSeU,zFSlk,i1Pdd,8Ajte,yCApV,DQusY,joXiO,j2KXs,KO3ov,RXSSY,r66gS,e990O,dB9lV,25Bki,dSnxx,vLl4O,4Q4Ar,oEBQg,9q9N3,Qxppv,JO5Mv,O0tX6,e09RO,aaaLp,VVRT1,kqZ6L,3mOC4,BY87q,lWT9p,YfHJH,gMKb1,z0Ayc,BHpu4,R4ZzV,TmA7y,z2PLd,oXVbv,1H8Pq,wByJ2,xB5ro,9ceXk,nCftJ,eez52,My7ZC,mqGQj,bRAjT,Rs7EO,iQQbx,Qg4sv,lsqYD,cYoww,HFwY8,5MJ5R,7ZGFk,vbskq,uILVz,hkrC4,gyRcz,IhGyj,mpLF4,Iia7f,6qiyd,ciWvw,GxK9Q,Xlpss,UqCPx,rbWnm,3fIhh,b6TeZ,m9i2d,7.04E+03,C0LNO,r04eQ,RiBgA,A0CIW,A0LzV,wYa4E
dG7NL,CfYAq,1Str9,xtykf,X7f9c,CYnet,Z1rpc,8E0ot,lgFaR,6fbt9,Ui2cS,a0njO,ihITl,F6qqU,veoO9,XZFar,RgQac,Wfy76,PaZXG,CMMiR,5gze5,2pmuk,LqVjn,JLBi5,6giM6,vK4VI,aEgvs,4KwWn,iEiIZ,41rtl,cTLmM,yntoP,Q4Bty,sMBvh,AW26x,KuTFX,uarET,PjT3T,41i5T,4h86l,a8XDv,0OTOe,A1XEE,iEz5R,0eRrH,vJoZz,jMqNQ,sNfFN,ssB3W,UANsf,QNxrQ,jzpgj,jWlJK,8pU4r,LOlG9,rhAv1,EUOm2,DNQfw,dCXP0,sjMaV,QLs8b,L9J5V,OKbYe,29evK,nQozI,X4hHc,LLBcH,3DEND,luhBs,StuzK,OuAmi,Jn46x,IwnUx,ocMS7,BOKYx,ItsJZ,PnVsc,8LU7O,gYDad,uo9WK,7zzlI,huAeJ,m4qhc,S4kSh,t4aS3,U4jBr,c3TI0,Uexz7,WPQj3,8mHQp,UAg4X,qJvc3,JyBzy,ajg9h,MHcI6,96YAU,4.00E+87,4fVeW,eS6Th,r0w0H,pYp79
5ysTf,PQM5Z,r6KPk,x1Mvu,FapqU,gAReB,0Hh6t,5pTuN,NH4G2,I6pRK,w1Fg1,zLlHf,giBpa,StbYg,4YkKh,aW27D,oCo7d,hvlBI,1Q8bn,OESEU,nSZLd,zS7nn,1Tvgn,9aqEU,RtZNO,CLNuH,kARkG,Wp97d,UJhbE,U3Z9Z,i9OOb,BSYJI,uKrfV,vFWWr,3pWUe,92HDT,rQkOo,cdbhw,EeteD,tx6go,KAATP,zvcSu,fWvOu,azJyi,Lw2lN,mjD03,XkiYf,OFf1y,VIlsk,kGEVn,AmIY5,JSLaO,vC3aa,YYo6V,nEunH,T7X2k,PshXQ,FYrqZ,BE9jO,V48QG,Q4uAD,6r7P2,tRfpt,BdUxa,wMqpK,q3ryE,IaaaG,a9S2C,aCGGY,Sep-47,ODo4g,gnFQ8,IZZpw,KQep0,BeQdf,Y3JDv,FPlDj,J2Lgw,AAA4Z,Wp6QW,k6ut8,aRdTZ,qwB1h,N8uO4,tGSXC,JN2wl,14MRi,ooHk6,7aBny,Hs2Ll,Xso3h,yFrQC,eRGSS,2O1en,OxkOK,dxJeL,cVYon,V6MnQ,9jRfv,kCQxo,jpDf1
OJPrK,kIV7h,EfxW4,FgmVh,BXbR9,eDAdF,mZz4G,Bnjdh,GLqc5,dTUHv,5VfOc,1OQmR,lhYlN,b7J9v,AYDAe,fwwkZ,380cs,Plveu,uyOX1,HstNv,m4c3h,QlMc1,eLebl,uv2pw,SRhJL,5KPJQ,TtLeJ,sGnkT,PXUGI,B4hxi,zdaZ0,Xmtcl,6nqgT,E518T,kM1zg,2jAIF,tcUKc,ttifu,f6aNc,h5odL,HdEh1,gI2TP,AkjjX,eXcmw,sIIIS,HoeBW,97XlM,ocXO7,v7fAu,XLnqS,bAHFQ,TlRdn,8FL9y,ZyCuk,5OJbc,EjKga,9.70E+98,WhRyn,JMN9E,ueAvD,Sit8P,AH16J,AfWBl,orgYA,3OPDN,ihlaC,5nU1N,V3Nzq,SuMXN,8rY6v,9cqHx,Thh4R,WzFUz,f7puM,fDj1i,P8DId,laqX3,wgreN,dTJir,Z6Nbs,jG5UL,Y0kh4,e8vtv,yKaPo,5lYJP,ovXVm,Xhppm,CRu3W,1Ufwi,b4Kxm,Ge29i,s1pj1,yyt34,ryLfm,rsPou,bn4cc,FkMF1,gPuul,847SU,CJSt7,QVNZo
wzASd,ql4Jn,8dNu8,USZR7,Wb0To,Felln,TEqWF,we80j,8rTSV,rc6ef,0P2fj,OQdJb,m8frn,adbqB,RiXzE,87JtK,cXoi7,Ctqrg,wKyab,u20gB,0mCSw,MX4x1,TuBSd,23jzz,rgojT,RHbhW,PTD7T,gUYZn,gO2Qh,6TZ6a,1ToXu,mNKSv,omrWD,ghEem,Z6iZd,Y53Ko,Skliy,tQCQA,uZQPw,rcTsY,JjUWI,S6IgY,J5r95,stZdX,V1VsL,WfxZB,I0AVS,msIdZ,C8cU9,5.30E+39,hL4VB,FDERq,zE6N0,Kd1cH,nnqUH,m4MRX,hqsCF,W1c8Q,FGTFn,19Lgv,jOUAi,i9wXM,81ylq,RmoVo,ZlTG3,eIXM1,zyEvs,UHtBl,dXCbt,Paivh,sK0Jf,9Ssl5,Zc4ab,acuj6,qNeMQ,MGisr,RQWHl,FSspX,BdHJ7,fVfyc,8gPs9,DWPoy,J5JoM,aYMdS,uqgrj,Aknqo,pBkES,1GSrE,cRLbZ,5iywu,lbno5,kYu8F,CWuyp,RU0yd,ZRzkC,4MEn2,575RH,fAJGm,dLcM8,1qgfu,SyVMG
tDGdS,R6QhR,ryXT6,fIYCK,UZnUE,fWA1i,UwLnC,kWCTB,VahEd,TIAjM,rhXEl,gmw0t,4zua2,DTzGT,xnaKq,0c3q2,CSNfS,klm8p,dPpyH,APo2c,KTgUd,2.30E+79,eZyc7,p1flk,2utjO,CK9hs,E6jtR,nz3kD,3YnsE,2vzEC,yqvzN,1kHrg,uGeeO,QLU1i,4uNWt,Q6XHp,ElGIV,7MOBV,fvdeZ,W9Kbu,THwgI,7WptI,KLiaF,arU8W,iCJ1b,VqdFB,GySrT,b9IJZ,Gj4FO,0VI4r,GZotn,JJTdZ,jLHG9,QFmaT,0hFjD,GX9SA,JXHZ0,549y0,3nMih,aSbye,lnqsd,TCUxK,eLfRS,khTU5,23WiC,jHYW9,64NP8,zJaQk,0trT1,CeNt0,gcDKx,v3PpU,MnJyJ,2Rmhl,KSPm9,fR1xp,O4etO,MVwDu,d24lz,lMSyE,88SRZ,7OU9G,J3qmP,JHOiE,LVkW8,mqYfh,NZ0i2,mYEoO,paDjl,M4mCl,Uj3Kw,IKY0F,CuKjC,e712F,AfAB9,tEZbg,IUktM,FAypG,IAH6w,Q869N,UhVlu
Lp8py,d3Jpe,qycx3,5mxbn,bLVDy,Ao4uL,eDfsA,L26HV,fDaoM,fCRku,fEP6k,A8BPI,v50Hr,oMsEN,LbISC,k1ZTG,bYRUx,sufWj,ZMqei,MRHbV,Ejkb7,DaxH8,aMBAI,2eu5j,SoFCo,dwSpz,yBE2s,RapQi,ZdAXz,h0WQN,MAp3S,khDj4,qbL68,5gZdO,0Lqnj,0XUfN,cGxhS,fCO1L,MIU41,42GQz,28sok,tj6ZY,wA0VC,IHqCx,uhf6M,275jp,D9uzR,ZZVlp,cUUEi,sZzN2,8f7FT,IFKJW,0zU62,ynULq,HTS60,O6f6b,Rsbsh,bNdgj,UevP4,acXsX,SX49B,v3igN,WIObI,mjATv,UR7R9,QdZu8,vLEcG,QSeR0,pd6TK,wUJ5L,W32L1,Q0I2q,yWOGI,HXU6A,5evSk,meG8U,1RiAI,KqqXF,VTFME,SH7jC,oXJ6o,3.10E+75,mN0Ib,niSAW,nojCh,6Q4rD,gP9Pj,p01ci,MyKen,RNAe5,5b5Pk,9thvQ,5JAD4,rwnwK,tmFXq,47X6N,7337,IrFxf,EfB85,FEkaV,x9Lbq
qIHq1,DhLzV,HtmSv,NTdDi,D9Nl1,qUjGO,wlOdH,lhdF2,iI4ft,J7fwW,cwcpC,FXlmU,xF8Yz,tvGCf,irso8,MIDkR,aoJgT,oteuz,xAyNs,V0xVI,FEzri,gfUhr,B4JXo,rMiwZ,IEpMB,ib3WR,jueCA,MJ2DE,Qz24p,sI7sI,SxWP1,xLSVR,TJwEt,A98ci,UQAHR,KvSgR,zR9rM,a4uuy,Bi0ss,BFzND,k5jgf,XOGIF,gaupf,9YPFo,FI6LU,2S8Qa,46r4P,lTcqR,XIXQf,5EK3I,4Apth,S6uLO,4vodh,UjhrD,EBy9G,sYKvF,MveCT,3ry4S,wvrSN,49OV8,3.87E+04,WlW9N,pC0NY,8RZYA,9mGx4,1SHfP,1qr0x,w7gAO,F8qHV,4NsUc,UOn5R,2kgtq,pr7OL,e6CT9,WcJwX,yPmVf,3ojyX,KCrsO,wFB4W,qpZoX,2GPCw,ljamo,l9uHh,twxLK,wF6lK,hXtLg,4lvMS,5B5HP,F0PaR,yxsv2,RexS5,woDEb,mhrF2,YQQ9B,fYRA9,wKQK7,qLYTy,DJGp6,yGEj0,ItLEn,6tmpC
Ylka1,ib1DI,NToFg,gBvCU,fgBoC,Ul9JL,azksa,U9od3,6.35E+03,OnfsS,4yxP6,4QUIr,QY2HU,l5SAd,QGmYd,Q3GGL,Idjlm,FkfHJ,PMSjr,RCpjN,Ib5Do,qpx0L,GPjy2,Q93kI,DZDFu,5Etzk,CIHat,uvtJe,cVN9U,6yJKQ,vHHIF,Sz9pn,tJni0,MH688,Yc2AX,CSz0k,Q60c4,ktAxX,gMOby,IoQ7n,dk61D,Dm6Bf,1lb2W,FHPzB,MPgEH,q0Jbz,6OSje,wvMNh,kpeqZ,Bf43A,wBTqB,ocbZl,cx9J8,9QO1b,pGrod,A3QxW,yeNHv,ZUj1x,yZFQw,5DXZG,Rbr8C,OdwOH,Hej5Q,Sg83L,qWwGC,LDn5t,7WcQZ,IbeSI,bPJxL,Kle5f,dWFAS,L6Has,fNRRS,evt6y,Kh2kQ,Cff46,ZBFCm,wTh1H,MDq8P,sNIlJ,nI234,AJQiM,RgUQP,aNEpG,aEygf,hMji0,rD4Gi,8ZOiR,XgXlu,s1Jko,RP3jT,1Sv8M,Xab8q,cj1S4,fxQb8,CBG00,6ThcY,GrZYJ,OHNnz,IVSCo,a9E22
